request id;api code;time of call;api call duration;status
024aae60-1a81-3f37-bbe6-3f832c919706;A1;01-02-2025 00:00:00;7.010387097;success
028d67dd-c6d0-329f-a20e-78db9eab7a55;A3;01-02-2025 00:17:00;51.41939252;success
02d12bf9-5fe2-3d0c-b233-30e02224b686;A3;01-02-2025 00:19:09;25.860775;success
0b3aee1e-dc3b-3728-bc55-f57a23446b3d;A8;01-02-2025 00:37:04;0.205909091;success
0dbfffb4-3ed4-3cb2-904d-c348501a996e;A8;01-02-2025 00:47:07;0.122125;failed
16fdcdc8-702d-381b-af47-73af6de0750a;A8;01-02-2025 00:50:03;15.32678947;success
200811cc-f582-31e3-9c06-3e1b3e45c70f;A4;01-02-2025 00:54:19;0.401189504;success
212b75e4-4eab-333e-a0c9-97b30009e4d9;A1;01-02-2025 00:58:01;15.91386207;success
2319e7e0-6480-3fd7-9408-46a976d34436;A6;01-02-2025 01:15:10;0.0054375;failed
23b30eea-06c7-3576-bb6e-09df0fea6a9d;A6;01-02-2025 01:24:00;17.5334;success
2e8eff2b-ff41-3df9-9173-1b0d0045938a;A2;01-02-2025 01:29:08;10.36028889;success
33d57ba9-661a-3e45-8b90-bf3a9919586c;A1;01-02-2025 01:49:16;2.20195;failed
38b87097-94ef-3d18-ac00-40d935d70cba;A1;01-02-2025 02:01:07;9.4989375;success
39be731d-0db8-359c-aef0-e85c6f26778e;A5;01-02-2025 02:09:01;40.34403425;success
3a5ee42f-282f-3900-af3f-8aeed2fdbcc5;A3;01-02-2025 02:28:17;0.584125;success
3f56fa42-3a39-37aa-bbbd-54f98db0d3ff;A7;01-02-2025 02:39:00;4.781528571;success
41e3f31a-6691-3827-a041-53c707e00b23;A7;01-02-2025 02:42:04;7.433645833;success
428082d3-91de-328c-ad78-9426e58525f4;A3;01-02-2025 02:46:18;9.885666667;success
42c409c5-43c8-38a3-bc8e-31ba91e3dcba;A3;01-02-2025 02:57:01;14.54946667;failed
4518f94f-4f61-30b7-9111-acfef07b7d28;A1;01-02-2025 03:11:12;0.028842105;success
477d68be-4c83-35a8-a6d2-71b0f1ae19aa;A6;01-02-2025 03:22:10;0.328974359;success
479ba55d-0866-3549-8600-2eeadef12073;A1;01-02-2025 03:34:04;265.94025;success
48435580-b842-3e3d-8161-8b2edf1e72b3;A2;01-02-2025 03:50:01;18.450928;success
49367d3e-5b7d-3000-a952-d50d75397080;A6;01-02-2025 04:10:11;0.02775;success
4a8c07b8-6f53-348f-98ea-a6792a1a1882;A5;01-02-2025 04:14:05;2.112666667;success
4e61c4d4-cafe-3bd4-b342-74047a725573;A2;01-02-2025 04:22:02;16.28432813;success
4f46e14e-d085-3e13-8ea9-2fa429b499fa;A5;01-02-2025 04:37:15;23.15736364;failed
5532f3ba-20b1-37b6-ba06-83986ca9698d;A2;01-02-2025 04:50:15;1.510888889;success
560615eb-45d9-3902-b4d8-60d4bb35b8b1;A6;01-02-2025 04:54:06;683.7524615;success
56988cbf-0f43-372c-99fd-1a7fec747922;A4;01-02-2025 04:58:14;0.001368081;success
60eb90d2-c055-3387-b252-715a59e520fd;A4;01-02-2025 05:01:08;10.37992905;success
611e4e71-3ac4-3c6b-9d2e-0ea85977f0fe;A6;01-02-2025 05:20:06;1.736563725;success
6ef419a9-5e82-3394-b86f-aad5e111bdd1;A7;01-02-2025 05:27:00;4.495993464;success
6f3de8a8-e8af-3ff4-9ace-f9cd5c743d35;A6;01-02-2025 05:46:09;1.811363636;success
76f7f110-230d-3b8b-8b96-f59a91bcc032;A8;01-02-2025 06:03:12;92.42173333;success
82ef8891-70cf-36aa-a5df-fa013b4d6be4;A2;01-02-2025 06:22:17;0.010333333;success
84534cb6-8752-380f-9d5c-fc51d0a686a6;A3;01-02-2025 06:39:12;0.157888889;success
86e2a6c3-c391-3928-8ccf-ad8c6426e1f3;A6;01-02-2025 06:48:19;1.73375;success
8850e0e4-5db4-36ce-86d8-65e63e687fa6;A6;01-02-2025 06:56:16;1.3914;success
8b4fc5ff-d935-3d99-9a54-8ba919078084;A1;01-02-2025 07:03:09;0.99075;success
8cc088ee-f7d5-392d-933f-6a6d2660b259;A9;01-02-2025 07:21:09;46.89327711;success
92e1e19b-9f38-3965-aa4f-3211d7ee763d;A7;01-02-2025 07:35:18;0.105157895;success
93cefbab-fcf2-3c19-937a-9dcaf06f77d4;A3;01-02-2025 07:53:02;0.167166667;success
